RunId,iteration,Step,num_nodes,avg_node_degree,consol_levels,type_split,power_change,seed,dem_levels,Democracies,Autocracies,Grey,Democracy Level,Consolidation Level
1,0,9,50,10,0.5,0.5,0.1,42,0.1,1,37,12,0.18234024507976923,0.7077769550659062
1,0,10,50,10,0.5,0.5,0.1,42,0.1,1,38,11,0.17234024507976925,0.7177769550659062
1,0,11,50,10,0.5,0.5,0.1,42,0.1,1,37,12,0.18434024507976923,0.7264497135760433
1,0,12,50,10,0.5,0.5,0.1,42,0.1,4,36,10,0.20594414035900097,0.7044497135760432
1,0,13,50,10,0.5,0.5,0.1,42,0.1,2,34,14,0.20568457836142676,0.6904164243133641
1,0,14,50,10,0.5,0.5,0.1,42,0.1,2,30,18,0.23102786389268704,0.6707744679978482
1,0,15,50,10,0.5,0.5,0.1,42,0.1,2,28,20,0.24702786389268705,0.6551736640685915
1,0,16,50,10,0.5,0.5,0.1,42,0.1,1,27,22,0.23900861615431646,0.638809708126938
1,0,17,50,10,0.5,0.5,0.1,42,0.1,1,27,22,0.25100861615431647,0.6267708455765642
1,0,18,50,10,0.5,0.5,0.1,42,0.1,1,28,21,0.251008605217009,0.6127704395012488
1,0,19,50,10,0.5,0.5,0.1,42,0.1,1,30,19,0.24700860521700904,0.6014437114297528
1,0,20,50,10,0.5,0.5,0.1,42,0.1,2,28,20,0.24900860521700904,0.5974437114297528
1,0,21,50,10,0.5,0.5,0.1,42,0.1,2,29,19,0.253008605217009,0.5874437114297528
1,0,22,50,10,0.5,0.5,0.1,42,0.1,3,28,19,0.26500860521700903,0.5854437114297528
1,0,23,50,10,0.5,0.5,0.1,42,0.1,3,28,19,0.259008605217009,0.5677581235357517
1,0,24,50,10,0.5,0.5,0.1,42,0.1,3,27,20,0.26700860521700903,0.5537581235357517
1,0,25,50,10,0.5,0.5,0.1,42,0.1,3,26,21,0.2590083254939313,0.5352173257913206
1,0,26,50,10,0.5,0.5,0.1,42,0.1,3,26,21,0.2830083254939313,0.5272173257913206
1,0,27,50,10,0.5,0.5,0.1,42,0.1,4,20,26,0.3030083254939313,0.5253632474142701
1,0,28,50,10,0.5,0.5,0.1,42,0.1,4,20,26,0.2990083254939313,0.5013632474142701
1,0,29,50,10,0.5,0.5,0.1,42,0.1,4,19,27,0.30424264564461523,0.48377248528409733
1,0,30,50,10,0.5,0.5,0.1,42,0.1,5,24,21,0.3002426456446153,0.4637724852840973
1,0,31,50,10,0.5,0.5,0.1,42,0.1,5,23,22,0.2962426456446153,0.4677724852840973
1,0,32,50,10,0.5,0.5,0.1,42,0.1,6,21,23,0.31624264564461524,0.4617724852840973
1,0,33,50,10,0.5,0.5,0.1,42,0.1,5,20,25,0.3099587482853087,0.4517724852840973
1,0,34,50,10,0.5,0.5,0.1,42,0.1,6,19,25,0.31795874828530873,0.4257724852840973
1,0,35,50,10,0.5,0.5,0.1,42,0.1,6,21,23,0.32195874828530874,0.4137724852840973
1,0,36,50,10,0.5,0.5,0.1,42,0.1,6,20,24,0.31795874828530873,0.4085436760195137
1,0,37,50,10,0.5,0.5,0.1,42,0.1,6,23,21,0.32995874828530875,0.4005436760195137
1,0,38,50,10,0.5,0.5,0.1,42,0.1,6,19,25,0.33795874828530875,0.37854367601951366
1,0,39,50,10,0.5,0.5,0.1,42,0.1,6,21,23,0.32595874828530874,0.3645436760195137
1,0,40,50,10,0.5,0.5,0.1,42,0.1,6,16,28,0.33395874828530875,0.3585436760195137
1,0,41,50,10,0.5,0.5,0.1,42,0.1,6,19,25,0.33395874828530875,0.3465436760195137
1,0,42,50,10,0.5,0.5,0.1,42,0.1,7,17,26,0.34195874828530876,0.3345436760195137
1,0,43,50,10,0.5,0.5,0.1,42,0.1,7,17,26,0.35595874828530877,0.3285436760195137
1,0,44,50,10,0.5,0.5,0.1,42,0.1,7,14,29,0.3619587482853088,0.32454367601951367
1,0,45,50,10,0.5,0.5,0.1,42,0.1,7,16,27,0.35595874828530877,0.3105436760195137
1,0,46,50,10,0.5,0.5,0.1,42,0.1,6,15,29,0.35395874828530877,0.3003142977440648
1,0,47,50,10,0.5,0.5,0.1,42,0.1,7,15,28,0.3619587482853088,0.29431429774406487
1,0,48,50,10,0.5,0.5,0.1,42,0.1,7,12,31,0.37395874828530873,0.27431429774406485
1,0,49,50,10,0.5,0.5,0.1,42,0.1,8,12,30,0.38395874828530874,0.25811509776798236
1,0,50,50,10,0.5,0.5,0.1,42,0.1,7,12,31,0.38195874828530874,0.24713547975466588
1,0,51,50,10,0.5,0.5,0.1,42,0.1,7,13,30,0.38595874828530874,0.23363146785357733
1,0,52,50,10,0.5,0.5,0.1,42,0.1,8,11,31,0.39795874828530875,0.23177057528434045
1,0,53,50,10,0.5,0.5,0.1,42,0.1,7,12,31,0.39595874828530875,0.22377057528434047
1,0,54,50,10,0.5,0.5,0.1,42,0.1,7,13,30,0.39395874828530875,0.22577057528434047
1,0,55,50,10,0.5,0.5,0.1,42,0.1,8,13,29,0.38395874828530874,0.21977057528434046
